,date,action,price,shares,capital
236,2025-04-15,BUY,112.1735610961914,3288.7966320672726,
237,2025-04-16,SELL,104.46538543701172,,343565.40779285366
238,2025-04-28,BUY,108.70438385009766,3160.547860393811,
239,2025-08-21,SELL,174.95091247558594,,552940.732098658
240,2025-08-28,BUY,180.1400604248047,3069.5045332765962,
241,2025-08-29,SELL,174.1510467529297,,534557.4274829822
242,2025-09-15,BUY,177.73048400878906,3007.6856565390744,
243,2025-10-16,SELL,181.7900390625,,546767.2929899594
244,2025-10-28,BUY,201.0079345703125,2720.127910168145,
245,2025-11-13,SELL,186.8394775390625,,508227.2775752381
246,2025-12-10,BUY,183.77005004882807,2765.5609683961075,
247,2025-12-15,SELL,176.28045654296875,,487514.3501062806
248,2025-12-24,BUY,188.59979248046875,2584.9145627069934,
249,2026-01-14,SELL,183.1300811767578,,473375.6137035151
250,2026-01-27,BUY,188.50979614257807,2511.145963711513,
251,2026-02-04,SELL,174.18057250976562,,437392.8416148585
252,2026-02-12,BUY,186.9298858642578,2339.876470755877,
253,2026-03-03,SELL,180.04025268554688,,421271.95104785374
254,2026-04-08,BUY,182.0800018310547,2313.664031257735,
255,2026-05-06,SELL,207.8300018310547,,480848.7998527405
256,2026-05-07,BUY,211.5,2273.516784173714,
257,2026-05-29,SELL,211.13999938964844,,480030.33242279344
